Month,Scheduled Operator,Country to/from,Passengers In,Freight In,Mail In,Passengers Out,Freight Out,Mail Out,Year
01/01/2009,Aerolineas Argentinas,Argentina,3021,4.313,0.6,1959,8.311,0,2009
01/01/2009,Aerolineas Argentinas,New Zealand,627,76.26,0,1821,68.539,0,2009
01/01/2009,Air Caledonie,New Caledonia,6658,4.918,0.645,5365,68.621,1.291,2009
01/01/2009,Air Canada,Canada,7489,174.828,0.004,6424,105.191,0.016,2009
01/01/2009,Air China,China,12458,201.314,18.569,11163,142.408,2.93,2009
01/01/2009,Air Mauritius,Mauritius,4635,36.586,0.429,3782,80.174,0.004,2009
01/01/2009,Air New Zealand,Cook Islands,94,0,0,39,0,0,2009
01/01/2009,Air New Zealand,Germany,,1.136,0,,,,2009
01/01/2009,Air New Zealand,New Zealand,109904,1811.254,197.664,100460,1385.565,8.268,2009
01/01/2009,Air New Zealand,USA,,164.046,0,,,,2009
01/01/2009,Air Niugini,Papua New Guinea,6817,33.701,1.835,7459,226.424,10.376,2009
01/01/2009,Air Pacific,Fiji,19539,184.517,0.264,13401,248.81,7.711,2009
01/01/2009,Air Tahiti Nui,Tahiti,1917,40.241,0,1964,54.943,0,2009
01/01/2009,Air Vanuatu,Vanuatu,5212,12.364,0,4390,29.484,0,2009
01/01/2009,AirAsia X,Malaysia,21143,106.524,0,17676,57.274,0,2009
01/01/2009,Airlines PNG,Papua New Guinea,500,0.713,0.019,598,4.014,0.018,2009
01/01/2009,Airnorth,Indonesia,397,0,0,325,0,0,2009
01/01/2009,Asiana Airlines,Korea,8996,164.319,7.17,7684,74.99,0,2009
01/01/2009,British Airways,Singapore,2602,114.784,0,2064,156.193,0,2009
01/01/2009,British Airways,Thailand,4270,42.123,0,3990,61.431,0,2009
01/01/2009,British Airways,UK,9854,281.235,77.053,8899,101.171,0,2009
01/01/2009,Cargolux Airlines Intl,Luxembourg,,65.05,0,,0,0,2009
01/01/2009,Cargolux Airlines Intl,New Zealand,,,,,43.302,0,2009
01/01/2009,Cargolux Airlines Intl,Singapore,,28.434,0,,,,2009
01/01/2009,Cargolux Airlines Intl,USA,,,,,36.274,0,2009
01/01/2009,Cathay Pacific Airways,Hong Kong (SAR),71949,2393.881,128.887,59968,3818.218,32.975,2009
01/01/2009,China Airlines,Taiwan,9003,48.997,9.324,7596,25.802,0,2009
01/01/2009,China Eastern Airlines,China,13224,90.618,9.545,9311,80.481,1.716,2009
01/01/2009,China Southern Airlines,China,8399,182.84,16.055,6431,9.68,3.532,2009
01/01/2009,Continental Micronesia,Guam,1128,0.293,0.002,1084,1.249,0.008,2009
01/01/2009,Emirates,New Zealand,28408,1376.306,0,19391,745.554,0,2009
01/01/2009,Emirates,Singapore,1653,104.613,19.924,1161,453.011,0,2009
01/01/2009,Emirates,Thailand,2499,0.932,0.221,914,0,0,2009
01/01/2009,Emirates,United Arab Emirates,47921,960.074,204.219,44881,1503.076,0.232,2009
01/01/2009,Etihad Airways,Singapore,852,47.784,0,816,64.935,0.001,2009
01/01/2009,Etihad Airways,United Arab Emirates,16644,226.273,34.125,14554,427.113,34.473,2009
01/01/2009,Eva Air,Taiwan,4817,69.225,4.425,3363,165.277,2.252,2009
01/01/2009,Federal Express Corporation,Philippines,,,,,251.305,0,2009
01/01/2009,Federal Express Corporation,USA,,692.401,20.661,,,,2009
01/01/2009,Garuda Indonesia,Indonesia,24994,161.442,7.316,17474,106.534,0.042,2009
01/01/2009,Hawaiian Airlines,USA,2607,2.044,1.463,1950,23.54,0,2009
01/01/2009,JALways,Japan,19355,199.948,82.843,16434,158.994,0.534,2009
01/01/2009,Jetstar,Indonesia,14771,175.62,0,12261,10.446,0.233,2009
01/01/2009,Jetstar,Japan,21198,100.403,26.336,19116,117.448,6.033,2009
01/01/2009,Jetstar,New Zealand,17054,47.119,0,16873,20.416,0,2009
01/01/2009,Jetstar,Singapore,13745,16.473,0,10829,4.562,11.435,2009
01/01/2009,Jetstar,Thailand,7186,93.489,1.244,6192,70.099,1.009,2009
01/01/2009,Jetstar,USA,5569,43.281,0.472,4149,52.902,0.436,2009
01/01/2009,Jetstar,Vietnam,3067,4.358,0,2846,0.162,0,2009
01/01/2009,Korean Air,Korea,18508,579.534,70.201,14281,430.878,15.975,2009
01/01/2009,LAN Airlines,Chile,2995,129.09,0.982,2477,43.957,3.641,2009
01/01/2009,LAN Airlines,New Zealand,3024,22.204,0,3140,50.64,0,2009
01/01/2009,Malaysia Airlines,Malaysia,40337,1980.247,11.826,33459,1550.668,0,2009
01/01/2009,Our Airline,Nauru,295,0.583,0,391,12.639,0,2009
01/01/2009,Our Airline,Solomon Islands,387,0,0,389,0,0,2009
01/01/2009,OzJet,Indonesia,1331,0,0,698,0,0,2009
01/01/2009,Pacific Air Express,Solomon Islands,,2.804,0,,38.482,0,2009
01/01/2009,Philippine Airlines,Philippines,8624,70.307,5.423,5500,32.119,0,2009
01/01/2009,Qantas Airways,Argentina,3755,7.773,0,2668,6.342,0.79,2009
01/01/2009,Qantas Airways,China,9575,333.011,15.512,7297,169.313,9.246,2009
01/01/2009,Qantas Airways,Fiji,227,0,0,,,,2009
01/01/2009,Qantas Airways,Germany,3966,262.905,3.682,4593,18.726,49.079,2009
01/01/2009,Qantas Airways,Hong Kong (SAR),34784,828.616,8.914,25314,1326.582,63.014,2009
01/01/2009,Qantas Airways,India,2320,33.002,0,1788,10.412,5.006,2009
01/01/2009,Qantas Airways,Indonesia,3656,40.054,0,3078,85.523,3.202,2009
01/01/2009,Qantas Airways,Japan,11388,120.117,54.089,10373,83.95,75.177,2009
01/01/2009,Qantas Airways,New Caledonia,2953,1.424,0.247,2415,9.487,2.547,2009
01/01/2009,Qantas Airways,New Zealand,58995,1297.504,0,55872,1078.297,145.153,2009
01/01/2009,Qantas Airways,Philippines,3800,29.056,5.065,2909,57.003,2.058,2009
01/01/2009,Qantas Airways,Singapore,47056,957.483,34.135,39136,1831.078,153.107,2009
01/01/2009,Qantas Airways,South Africa,7534,74.244,4.183,6970,33.414,9.467,2009
01/01/2009,Qantas Airways,Thailand,3430,111.05,7.672,3336,136.701,15.277,2009
01/01/2009,Qantas Airways,UK,19705,327.466,66.691,18843,67.058,147.255,2009
01/01/2009,Qantas Airways,United Arab Emirates,,,,,0,0,2009
01/01/2009,Qantas Airways,USA,50608,1387.483,186.836,40914,384.012,172.321,2009
01/01/2009,Royal Brunei Airlines,Brunei,8683,62.188,0.054,6045,122.552,0,2009
01/01/2009,Royal Brunei Airlines,New Zealand,1549,46.123,0,1589,36.896,0,2009
01/01/2009,Singapore Airlines,New Zealand,,44.361,0,,233.739,0,2009
01/01/2009,Singapore Airlines,Singapore,141528,3664.545,143.715,111712,5125.575,0.65,2009
01/01/2009,SkyAirWorld,Solomon Islands,393,0,0,305,0,0,2009
01/01/2009,Solomon Airlines,Solomon Islands,401,2.725,0,335,4.636,0,2009
01/01/2009,South African Airways,South Africa,6562,26.962,3.226,5675,85.146,1.616,2009
01/01/2009,Tasman Cargo Airlines,New Zealand,,178.073,0,,206.678,0,2009
01/01/2009,Thai Airways International,Thailand,49994,1265.891,175.129,35166,1717.165,3.331,2009
01/01/2009,Tiger Airways,Singapore,5128,0,0,3969,0,0,2009
01/01/2009,United Airlines,USA,22081,87.76,75.119,20526,377.026,9.892,2009
01/01/2009,United Parcel Service,Hong Kong (SAR),,,,,3.569,0,2009
01/01/2009,United Parcel Service,Singapore,,,,,72.616,0,2009
01/01/2009,United Parcel Service,USA,,835.865,0,,,,2009
01/01/2009,Vietnam Airlines,Vietnam,11218,130.322,0,10097,54.111,0,2009
01/01/2009,Virgin Atlantic Airways,Hong Kong (SAR),5610,200.755,0,2839,128.016,0,2009
01/01/2009,Virgin Atlantic Airways,UK,3256,19.185,0,3791,12.521,0,2009
01/01/2009,Virgin Australia,Fiji,8839,5.827,0,6329,33.161,0,2009
01/01/2009,Virgin Australia,Indonesia,7226,0,0,6347,0,0,2009
01/01/2009,Virgin Australia,New Zealand,40708,32.645,0,41058,35.491,0,2009
01/01/2009,Virgin Australia,Papua New Guinea,1284,0,0,1112,4.115,0,2009
01/01/2009,Virgin Australia,Solomon Islands,634,0,0,615,5.777,0,2009
01/01/2009,Virgin Australia,Tonga,1291,3.921,0,959,1.088,0,2009
01/01/2009,Virgin Australia,Vanuatu,3389,0.92,0,2806,3.167,0,2009
01/01/2009,Virgin Samoa,Western Samoa,2443,0.682,0,1605,1.303,0,2009
01/02/2009,Aerolineas Argentinas,Argentina,2600,3.989,0.7,2226,8.777,0,2009
01/02/2009,Aerolineas Argentinas,New Zealand,481,113.369,0,1299,95.062,0,2009
01/02/2009,Air Caledonie,New Caledonia,3248,1.745,0.686,5939,56.649,1.909,2009
01/02/2009,Air Canada,Canada,5649,175.64,0.009,4823,164.675,0.012,2009
01/02/2009,Air China,China,11072,177.409,14.504,9063,191.675,2.305,2009
01/02/2009,Air Mauritius,Mauritius,2183,33.178,0.42,1181,49.724,0,2009
01/02/2009,Air New Zealand,Germany,,12.238,0,,,,2009
01/02/2009,Air New Zealand,New Zealand,79791,1959.916,229.181,83383,1304.029,3.812,2009
01/02/2009,Air New Zealand,USA,,219.608,0,,,,2009
01/02/2009,Air Niugini,Papua New Guinea,6022,38.169,0.851,6102,236.836,5.066,2009
01/02/2009,Air Pacific,Fiji,9627,207.948,0,8864,270.344,14.712,2009
01/02/2009,Air Tahiti Nui,Tahiti,618,11.043,0,659,30.646,0,2009
01/02/2009,Air Vanuatu,Vanuatu,2696,8.952,0,2722,43.476,0,2009
01/02/2009,AirAsia X,Malaysia,17063,104.377,0,10837,0,0,2009
01/02/2009,Airlines PNG,Papua New Guinea,335,0.848,0.015,330,5.173,0.014,2009
01/02/2009,Asiana Airlines,Korea,7744,184.859,6.924,6736,70.145,0,2009
01/02/2009,British Airways,Singapore,1921,102.688,0,2083,181.887,0,2009
01/02/2009,British Airways,Thailand,3535,31.094,0.156,3514,35.077,0,2009
01/02/2009,British Airways,UK,9093,311.516,58.759,6196,99.574,0,2009
01/02/2009,Cargolux Airlines Intl,Luxembourg,,95.452,0,,0,0,2009
01/02/2009,Cargolux Airlines Intl,New Zealand,,,,,111.466,0,2009
01/02/2009,Cargolux Airlines Intl,Singapore,,41.326,0,,,,2009
01/02/2009,Cargolux Airlines Intl,USA,,,,,40.594,0,2009
01/02/2009,Cathay Pacific Airways,Hong Kong (SAR),64326,2387.559,117.794,45682,3716.174,26.297,2009
01/02/2009,China Airlines,Taiwan,8062,66.912,14.589,6179,29.223,0,2009
01/02/2009,China Eastern Airlines,China,10789,152.131,6.245,7195,107.411,1.895,2009
01/02/2009,China Southern Airlines,China,6751,147.55,11.083,4639,6.233,3.539,2009
01/02/2009,Continental Micronesia,Guam,1097,0.295,0,1066,1.962,0.004,2009
01/02/2009,Emirates,New Zealand,20913,1018.102,0,19364,704.347,0.236,2009
01/02/2009,Emirates,Singapore,2447,89.636,22.585,2008,322.155,0,2009
01/02/2009,Emirates,Thailand,1411,2.84,0,1777,0.402,0,2009
01/02/2009,Emirates,United Arab Emirates,48776,1389.861,183.303,36122,2085.852,0.476,2009
01/02/2009,Etihad Airways,Singapore,918,44.008,0,424,58.444,0.004,2009
01/02/2009,Etihad Airways,United Arab Emirates,12513,295.127,10.747,8674,489.098,13.472,2009
01/02/2009,Eva Air,Taiwan,2824,82.431,3.971,2445,32.486,1.023,2009
01/02/2009,Federal Express Corporation,China,,,,,23.199,0,2009
01/02/2009,Federal Express Corporation,Philippines,,,,,38.231,0,2009
01/02/2009,Federal Express Corporation,USA,,762.037,16.992,,,,2009
01/02/2009,Garuda Indonesia,Indonesia,11576,158.508,8.643,9435,76.486,0.032,2009
01/02/2009,Hawaiian Airlines,USA,1519,4.055,2.279,1462,32,0,2009
01/02/2009,JALways,Japan,17709,223.702,68.981,16211,177.339,0.187,2009
01/02/2009,Jetstar,Indonesia,10943,120.32,0,10649,12.736,0.347,2009
01/02/2009,Jetstar,Japan,19795,124.14,29.953,17893,97.079,5.32,2009
01/02/2009,Jetstar,New Zealand,13851,36.078,0,15368,22.386,0,2009
01/02/2009,Jetstar,Singapore,11207,17.354,0.012,7802,3.792,10.033,2009
01/02/2009,Jetstar,Thailand,5833,119.069,0.685,4350,80.476,1.087,2009
01/02/2009,Jetstar,USA,2755,75.204,0.337,2405,55.829,0.269,2009
01/02/2009,Jetstar,Vietnam,3073,0.914,0,1874,0.034,0,2009
01/02/2009,Korean Air,Korea,16003,604.494,79.549,12227,405.949,2.807,2009
01/02/2009,LAN Airlines,Chile,2590,130.647,1.073,2977,80.815,3.077,2009
01/02/2009,LAN Airlines,New Zealand,1186,38.673,0,2623,38.108,0.001,2009
01/02/2009,Malaysia Airlines,Malaysia,32092,2078.438,12.242,26188,1454.58,0,2009
01/02/2009,Our Airline,Nauru,204,0.452,0,226,10.897,0,2009
01/02/2009,Our Airline,Solomon Islands,441,0,0,532,0,0,2009
01/02/2009,OzJet,Indonesia,185,0,0,260,0,0,2009
01/02/2009,Pacific Air Express,Solomon Islands,,1.799,0,,45.735,0,2009
01/02/2009,Philippine Airlines,Philippines,6270,91.453,5.38,5088,92.143,0,2009
01/02/2009,Qantas Airways,Argentina,2875,13.632,0,3738,19.778,0.784,2009
01/02/2009,Qantas Airways,China,8613,399.745,16.622,7071,191.82,8.35,2009
01/02/2009,Qantas Airways,Germany,3782,170.694,3.657,3696,22.007,44.411,2009
01/02/2009,Qantas Airways,Hong Kong (SAR),27598,728.606,11.312,23416,1032.685,55.792,2009
01/02/2009,Qantas Airways,India,2140,47.795,0,2005,23.792,4.158,2009
01/02/2009,Qantas Airways,Indonesia,3921,44.587,0,2657,129.674,3.071,2009
01/02/2009,Qantas Airways,Japan,10360,111.25,50.254,9175,100.945,55.218,2009
01/02/2009,Qantas Airways,New Caledonia,1650,0.712,0.21,2411,12.08,1.994,2009
